course_key,course_code,course_name,credit_hours,course_category,course_level
1,NURS101,Foundations of Nursing Practice,3,Core,1
2,NURS150,Health Assessment,3,Core,1
3,NURS210,Pharmacology I,4,Core,2
4,NURS215,Pathophysiology,4,Core,2
5,NURS240,Medical-Surgical Nursing I,5,Clinical,2
6,NURS310,Maternal Newborn Nursing,4,Clinical,3
7,NURS320,Pediatric Nursing,4,Clinical,3
8,NURS330,Mental Health Nursing,4,Clinical,3
9,NURS410,Community Health Nursing,3,Clinical,4
10,NURS450,Leadership and Management,3,Core,4
11,NURS460,NCLEX Readiness Capstone,2,Capstone,4
12,STAT200,Statistics for Health Sciences,3,General Ed,1
13,BIOL220,Microbiology,4,General Ed,1
14,NURS510,Advanced Pharmacology,3,Graduate Core,1
15,NURS520,Advanced Health Assessment,3,Graduate Core,1
16,NURS610,Evidence-Based Practice,3,Graduate Core,2
