term_key,term_code,term_name,academic_year,season,term_start_date,term_end_date,term_rank
1,2023-1,Spring 2023,2023,Spring,2023-01-08,2023-04-23,11
2,2023-2,Summer 2023,2023,Summer,2023-05-06,2023-08-19,10
3,2023-3,Fall 2023,2023,Fall,2023-09-05,2023-12-19,9
4,2024-1,Spring 2024,2024,Spring,2024-01-08,2024-04-22,8
5,2024-2,Summer 2024,2024,Summer,2024-05-06,2024-08-19,7
6,2024-3,Fall 2024,2024,Fall,2024-09-05,2024-12-19,6
7,2025-1,Spring 2025,2025,Spring,2025-01-08,2025-04-23,5
8,2025-2,Summer 2025,2025,Summer,2025-05-06,2025-08-19,4
9,2025-3,Fall 2025,2025,Fall,2025-09-05,2025-12-19,3
10,2026-1,Spring 2026,2026,Spring,2026-01-08,2026-04-23,2
11,2026-2,Summer 2026,2026,Summer,2026-05-06,2026-08-19,1
