enrollment_key,learner_key,course_key,term_key,program_key,is_course_passed,letter_grade,final_score,is_withdrawn,attendance_rate
500001,10001,15,1,3,TRUE,B,75.2,FALSE,0.99
500002,10001,16,1,3,TRUE,A,86.7,FALSE,0.76
500003,10001,14,1,3,FALSE,D,48.5,FALSE,0.93
500004,10002,12,2,5,TRUE,B,92.7,FALSE,0.77
500005,10002,11,2,5,TRUE,C,88.1,FALSE,0.77
500006,10002,9,2,5,TRUE,B,75.3,FALSE,0.69
500007,10003,14,9,3,TRUE,C,87.5,FALSE,0.56
500008,10003,16,9,3,TRUE,C,95.6,FALSE,1.0
500009,10004,14,1,3,TRUE,B,92.8,FALSE,0.71
500010,10004,16,1,3,TRUE,B,79.7,FALSE,0.84
500011,10005,1,6,1,TRUE,B,76.0,FALSE,0.87
500012,10005,4,6,1,TRUE,B,78.0,FALSE,0.8
500013,10005,2,7,1,TRUE,A,83.3,FALSE,0.99
500014,10005,13,7,1,TRUE,B,91.5,FALSE,0.86
500015,10005,7,8,1,TRUE,B,82.0,FALSE,0.85
500016,10005,6,8,1,TRUE,B,81.9,FALSE,0.56
500017,10006,11,8,5,TRUE,A,86.7,FALSE,0.74
500018,10006,10,8,5,TRUE,B,75.0,FALSE,0.61
500019,10006,12,9,5,TRUE,B,93.8,FALSE,0.85
500020,10006,9,9,5,TRUE,A,78.7,FALSE,0.87
500021,10007,15,6,3,TRUE,A,76.9,FALSE,0.56
500022,10007,16,6,3,TRUE,C,81.0,FALSE,0.84
500023,10007,14,6,3,TRUE,A,98.2,FALSE,0.95
500024,10008,14,4,6,TRUE,B,91.3,FALSE,0.91
500025,10008,15,4,6,TRUE,B,93.4,FALSE,0.61
500026,10008,10,5,6,TRUE,A,82.2,FALSE,0.68
500027,10008,16,5,6,TRUE,A,86.1,FALSE,0.72
500028,10009,1,5,2,TRUE,B,98.1,FALSE,0.56
500029,10009,6,5,2,TRUE,B,98.0,FALSE,0.59
500030,10009,11,5,2,TRUE,A,96.8,FALSE,0.81
500031,10009,12,6,2,TRUE,B,89.9,FALSE,0.95
500032,10009,8,6,2,FALSE,F,70.3,FALSE,0.73
500033,10009,4,6,2,FALSE,D,69.3,FALSE,0.93
500034,10009,5,7,2,FALSE,F,55.1,FALSE,0.7
500035,10009,3,7,2,FALSE,D,55.7,FALSE,0.86
500036,10009,2,7,2,TRUE,B,77.9,FALSE,0.85
500037,10009,7,8,2,TRUE,A,76.3,FALSE,0.78
500038,10010,5,8,1,FALSE,F,52.0,FALSE,0.78
500039,10010,13,8,1,TRUE,A,77.5,FALSE,0.92
500040,10010,2,8,1,TRUE,A,76.3,FALSE,0.68
500041,10011,10,1,5,TRUE,B,89.7,FALSE,0.94
500042,10011,11,1,5,TRUE,C,85.4,FALSE,0.56
500043,10011,9,2,5,TRUE,A,92.9,FALSE,0.63
500044,10011,12,2,5,TRUE,B,88.1,FALSE,0.77
500045,10012,12,6,1,TRUE,A,85.2,FALSE,0.68
500046,10012,1,6,1,TRUE,B,84.3,FALSE,0.69
500047,10012,7,6,1,TRUE,B,96.4,FALSE,0.75
500048,10012,13,7,1,TRUE,A,83.5,FALSE,0.76
500049,10012,4,7,1,TRUE,A,81.6,FALSE,0.71
500050,10012,3,7,1,TRUE,B,87.1,FALSE,0.96
500051,10012,9,8,1,TRUE,A,87.3,FALSE,0.85
500052,10012,6,8,1,TRUE,B,92.3,FALSE,0.76
500053,10012,8,8,1,TRUE,C,78.4,FALSE,0.69
500054,10012,10,9,1,TRUE,C,97.0,FALSE,0.77
500055,10012,2,9,1,TRUE,A,89.5,FALSE,0.81
500056,10012,11,9,1,TRUE,B,93.6,FALSE,0.67
500057,10013,4,9,1,FALSE,D,72.7,FALSE,0.7
500058,10013,3,9,1,FALSE,F,68.4,FALSE,0.6
500059,10013,5,10,1,TRUE,B,92.5,FALSE,0.89
500060,10013,2,10,1,TRUE,B,76.5,FALSE,0.66
500061,10013,9,11,1,FALSE,D,59.7,FALSE,0.82
500062,10013,8,11,1,TRUE,C,82.7,FALSE,0.75
500063,10014,10,3,6,TRUE,B,85.5,FALSE,0.65
500064,10014,14,3,6,TRUE,B,85.4,FALSE,0.91
500065,10014,16,3,6,TRUE,C,89.0,FALSE,0.98
500066,10014,15,4,6,TRUE,A,75.8,FALSE,0.95
500067,10015,12,7,1,TRUE,B,87.0,FALSE,0.83
500068,10015,3,7,1,TRUE,A,78.3,FALSE,0.75
500069,10015,1,8,1,TRUE,B,96.0,FALSE,0.59
500070,10015,4,8,1,TRUE,A,82.2,FALSE,0.77
500071,10015,5,9,1,FALSE,F,62.3,FALSE,0.65
500072,10015,8,9,1,TRUE,B,97.1,FALSE,0.73
500073,10015,11,10,1,TRUE,A,95.9,FALSE,0.99
500074,10015,13,10,1,FALSE,D,63.2,FALSE,0.73
500075,10015,2,11,1,FALSE,D,50.9,FALSE,0.97
500076,10015,9,11,1,TRUE,B,75.8,FALSE,0.67
500077,10016,15,1,6,TRUE,C,92.6,FALSE,0.96
500078,10016,10,1,6,TRUE,B,86.8,FALSE,0.96
500079,10016,14,2,6,TRUE,A,93.4,FALSE,0.71
500080,10016,16,2,6,TRUE,C,85.0,FALSE,0.83
500081,10017,6,5,1,TRUE,A,93.8,FALSE,0.56
500082,10017,12,5,1,FALSE,F,68.4,FALSE,0.79
500083,10017,10,5,1,TRUE,C,91.4,FALSE,0.56
500084,10017,13,6,1,TRUE,B,84.3,FALSE,0.86
500085,10017,4,6,1,TRUE,A,85.2,FALSE,0.6
500086,10017,7,6,1,TRUE,B,89.8,FALSE,0.71
500087,10017,11,7,1,TRUE,A,97.0,FALSE,0.65
500088,10017,1,7,1,TRUE,C,80.5,FALSE,0.89
500089,10017,5,7,1,TRUE,A,87.9,FALSE,1.0
500090,10017,3,8,1,FALSE,F,67.0,FALSE,0.58
500091,10017,8,8,1,TRUE,A,79.3,FALSE,0.69
500092,10017,9,8,1,TRUE,B,96.4,FALSE,0.61
500093,10018,1,5,1,TRUE,B,82.3,FALSE,0.9
500094,10018,6,5,1,TRUE,B,90.7,FALSE,0.95
500095,10018,13,5,1,TRUE,A,88.0,FALSE,0.57
500096,10018,4,6,1,TRUE,B,91.9,FALSE,0.77
500097,10018,12,6,1,FALSE,F,72.1,FALSE,0.69
500098,10018,5,6,1,TRUE,C,77.9,FALSE,0.92
500099,10019,5,9,1,TRUE,B,77.0,FALSE,0.93
500100,10019,6,9,1,TRUE,B,75.5,FALSE,0.72
500101,10019,9,9,1,FALSE,F,53.4,FALSE,0.85
500102,10019,13,10,1,TRUE,A,90.8,FALSE,0.79
500103,10019,7,10,1,TRUE,B,75.6,FALSE,0.89
500104,10019,11,10,1,TRUE,B,94.9,FALSE,0.91
500105,10019,12,11,1,TRUE,B,83.2,FALSE,0.75
500106,10019,2,11,1,TRUE,A,92.6,FALSE,0.91
500107,10019,10,11,1,TRUE,B,97.4,FALSE,0.94
500108,10020,9,5,5,TRUE,A,86.2,FALSE,0.61
500109,10020,11,5,5,FALSE,D,69.1,FALSE,0.59
500110,10020,10,5,5,TRUE,B,88.0,FALSE,0.81
